ticker,MDS1,MDS2
DASH,-0.22912738787586615,1.4227473833165165
DD,-0.4418975992602534,1.404235178657094
DDOG,-1.510447925687744,2.357647022271008
DE,0.54687164612827,-0.1525632565494188
DECK,-1.4358458456109517,2.7744128262882923
DELL,3.1958809695198136,-2.5423056122092875
DG,1.3736703896859064,0.688999621469004
DHI,-0.2503283402958715,1.8085553166126325
DHR,-0.6136913687721784,1.1555984423054741
DIOD,-0.5369985721847048,2.117658249126419
DIS,-0.24229195691637725,0.9676859958077008
DKNG,2.0349653762814843,0.0027551151977322223
DLR,-0.5494511159051418,0.3474736050190506
DLTR,1.3670081390955469,0.7704661688320062
DNOW,0.23786090014533015,1.4182195224081762
DOCU,-0.5370108982388164,0.7164822720303639
DOV,-0.2576872402695747,0.9689315486640164
DUK,0.3155560425340185,-0.3765553245461243
DVN,-0.25930001569578764,0.6602388708337791
DXCM,-0.6790774016601538,0.34283130875517365
EA,-0.12973586574551932,0.8465523015915281
EBAY,-0.19595634666096604,-0.42941336663721
ECL,0.14885816207478525,0.48261941464605435
EL,1.0112752501970916,-0.14509751384174296
ELS,0.00494679044721493,-0.18133471801024528
EMN,0.40066427741941857,0.6379895106962155
EMR,-3.80238094008257,-1.0086897667894945
EOG,-0.7476570313167883,0.7871795375731999
EPAM,-0.10712942578204049,2.090359443551803
EPRT,-1.7446228409150866,0.17521696569452813
EQIX,0.07158613208757648,0.007917781239347681
EQR,-1.1891295492964515,0.23242116942104912
EQT,-1.044335403150449,0.9720865948020796
ES,0.4517279943179769,-0.324804687967481
ETN,-0.16038674064020053,0.6973170894934109
ETR,0.45520819922071526,-0.47222445048139217
EVR,-0.12459630816102356,0.5071745552966824
EW,-1.227408509916669,1.5292889885824419
EXC,0.5173073594771119,-0.337813022910561
EXPI,12.608561180014087,5.656008964016081
EXR,-0.8016084410461718,0.1013626181228389
F,1.3344552957026135,-0.3789811450326543
FAF,0.44171311966903115,0.2694227963836583
FAST,-0.8468781197914351,3.1661431494624064
FCX,-0.2523351132281444,0.6902689127757436
FDX,0.9172110718539289,0.5985860862910141
FFIV,-1.090706062248108,0.7696683173734808
FIS,0.3616559007523308,0.5840796484987109
FISV,0.1617131720467602,-0.055103481182763314
FITB,0.20292376011625407,-2.2217723888709093
FLO,1.2736290155408772,0.7693257685159924
FLUT,0.7383868723700637,0.36188832116154257
FMC,-1.8670029114677402,-1.9175426061527843
FNF,1.87144464956385,-2.124527585681591
FOX,-0.19258894443369656,0.8888783916486334
FTI,0.6844046031133848,0.596680638722616
FTV,-0.3878340802365094,0.8823104790223635
G,0.012284099245246902,1.0428195792028783
GD,0.407102571798687,0.9365177875463291
GE,0.6811708344191841,-0.893862753780072
GILD,-0.7479464292759316,-0.12901658201832825
GIS,0.5063314006752683,0.07004358033507424
GM,1.1622402449537497,0.01526553728186569
GNRC,0.3514435454371968,1.0386052699638475
GO,1.3371109533573067,0.9806488874210334
GOOGL,-1.598142403168945,1.2956413660470327
GPN,-0.2628930757230109,0.22358847458660802
GS,-3.3680193087778014,-5.1100891302414
GSAT,1.2237945804888195,-2.702967319130188
GTLS,0.799383919910961,0.3965947060050173
GWW,1.329194534539364,2.299512436452893
HAL,0.5018367157359331,0.8363021829078129
HBAN,-1.6760925647246607,-4.093548273638512
