ticker,revenue,net_income,total_assets,total_liabilities,operating_cash_flow,rd_expense,stockholders_equity
RDW,335.381,226.552,1449.137,312.087,177.331,19.761,1060.016
REGN,14342.9,4504.9,40558.7,9301.8,4978.9,5850.2,31256.9
RF,4991.0,2156.0,158814.0,139711.0,2181.0,,19043.0
RGTI,7.088,216.21,666.574,120.375,58.543,61.345,546.199
RH,3439.536,124.787,4835.71,4775.11,452.241,,60.6
RHP,2577.061,243.425,6181.183,4969.407,590.629,,750.152
RJF,15912.0,2135.0,88230.0,75726.0,2434.0,,12503.0
RKLB,601.799,198.209,2324.478,602.624,165.521,270.716,1721.854
RKT,125.0,68.0,60685.0,37787.0,3927.0,,22898.0
RL,7079.0,742.9,7047.3,4458.8,1235.1,,2588.5
RLI,1882.448,403.337,6161.486,4383.29,614.221,,1778.196
RMD,5146.327,1400.723,8174.391,2206.532,1751.588,331.284,5967.859
RNG,2515.142,43.391,1481.455,1870.125,617.427,316.993,588.119
ROK,8342.0,869.0,11219.0,7565.0,1544.0,679.0,3654.0
ROP,7902.5,1536.3,34577.0,14695.5,2540.3,852.5,19881.5
ROST,22750.559,2145.044,15548.737,9361.293999999998,3026.883,,6187.443
RPM,7372.644,688.688,7775.949,4890.592999999999,768.19,94.7,2885.356
RRC,3115.515,658.024,7421.948,3103.267,1171.324,,4318.681
RSG,19027.0,2139.0,34366.0,22398.0,4296.0,,11968.0
RTX,88603.0,6732.0,171079.0,103941.0,10567.0,2807.0,65245.0
SAIC,7262.0,358.0,5354.0,3854.0,609.0,13.0,1500.0
SBUX,37184.4,1856.4,32019.7,40108.9,4747.5,,8096.6
SCHW,23921.0,8852.0,490995.0,441570.0,9311.0,,49425.0
SERV,2.651,101.361,367.751,17.007,80.241,45.267,350.744
SFM,8806.159,523.67,4158.649,2755.575,715.998,,1403.074
SHEN,357.854,32.943,1910.762,1029.9789999999998,100.998,,880.783
SHW,23574.3,2568.5,25901.7,21303.4,3451.6,,4598.3
SIG,6813.6,294.4,5952.1,3985.9,678.8,,1966.2
SIRI,8558.0,805.0,27237.0,15674.0,1898.0,263.0,11563.0
SITE,4704.8,173.4,3219.6,1536.4,300.5,,1659.2
SITM,326.66,42.903,1294.699,138.517,87.154,118.893,1156.182
SJM,8726.1,1230.8,17563.3,11480.7,1210.4,,6082.6
SLB,35708.0,3374.0,54868.0,27577.0,6489.0,709.0,26109.0
SLDP,21.747,96.52,455.092,38.918,73.393,72.513,415.704
SM,3154.0,648.0,9253.0,4443.0,2011.0,,4810.0
SMR,31.479,355.794,1412.512,298.961,459.61,45.532,1168.841
SNA,5156.1,1016.9,8412.3,2455.5,1081.7,72.4,5931.8
SNOW,4683.946,1331.616,9132.495,7208.393,1221.942,1969.472,1924.102
SPB,2809.0,99.9,3379.6,1469.9,203.6,23.2,1909.7
SPCE,1.544,278.907,803.179,529.215,240.142,80.466,273.964
SPG,6364.505,5364.12,40606.466,33901.073,4136.551,,5208.268
STE,5459.515,614.641,10146.811,3531.054,1148.087,107.648,6603.405
STLD,18176.581,1185.595,16419.78,7489.369,1449.534,,8957.182
STT,13944.0,2945.0,366047.0,338206.0,11898.0,,25191.0
STX,9097.0,1469.0,8023.0,8476.0,1083.0,724.0,453.0
SUI,2306.1,206.9,12522.9,5194.4,864.2,,6956.1
SWK,15130.4,401.9,21243.7,12189.1,971.2,321.4,9054.6
SYF,18466.0,3552.0,119095.0,102329.0,9851.0,,16766.0
SYK,25116.0,3246.0,47844.0,25424.0,5044.0,1623.0,22420.0
T,125648.0,21953.0,420198.0,293707.0,40284.0,,126491.0
TEAM,5215.304,256.687,6041.97,4696.316,1460.393,2669.312,1345.654
TFC,14423.0,5307.0,547538.0,482349.0,5739.0,,65189.0
TFX,1992.713,905.64,6947.239,3822.471,96.682,144.781,3124.768
TGT,104780.0,3705.0,59490.0,43325.0,6562.0,,16165.0
TJX,60372.0,5494.0,35767.0,25577.0,6874.0,,10190.0
TKO,4735.151,195.403,15495.821,6245.742,1285.725,,3737.381
TMO,44556.0,6704.0,110343.0,56936.0,7818.0,1397.0,53407.0
TMUS,88309.0,10992.0,219237.0,160034.0,27950.0,,59203.0
TOL,10966.723,1346.486,14519.866,6233.802,1112.411,,8270.663
TPR,7010.7,183.2,6580.5,5722.7,1216.6,,857.8
TREX,1174.267,190.415,1453.441,419.177,358.113,4.2,1034.264
TRMB,3587.3,424.0,9312.0,3475.8,386.2,630.7,5836.2
TRV,48828.0,6288.0,143708.0,110814.0,10606.0,,32894.0
TSLA,94827.0,3794.0,137806.0,54941.0,14747.0,6411.0,82137.0
TT,21321.9,2918.6,21420.7,12819.8,3194.5,347.6,8579.2
TTWO,5633.6,4478.9,9180.7,7043.0,45.2,,2137.7
TXN,17682.0,5001.0,34585.0,18312.0,7153.0,2083.0,16273.0
U,1849.648,402.765,6837.606,3341.469,422.955,929.516,3237.432
UBER,37281.0,1887.0,51244.0,28768.0,3585.0,3164.0,21558.0
UDR,1712.317,377.704,10605.674,6456.911,902.887,,3288.462
UEC,66.837,87.656,1107.653,123.753,64.458,,983.9
UNH,447567.0,12056.0,309581.0,207883.0,19697.0,,100090.0
UNM,13075.5,738.5,63519.4,52400.3,687.7,,11119.1
UNP,24510.0,7138.0,69698.0,51231.0,9290.0,,18467.0
UPS,88661.0,5572.0,73090.0,56863.0,8450.0,,16227.0
URBN,6165.376,464.919,5007.613,2192.326,575.19,,2815.287
URG,27.207,74.898,272.459,195.007,43.127,,77.452
USB,28656.0,7570.0,692345.0,626694.0,7970.0,,65193.0
USEG,7.353,14.374,40.63,16.435,7.138,,24.195
UUUU,65.922,85.634,1411.852,729.282,89.48,,678.405
V,40000.0,20058.0,99627.0,61718.0,23059.0,,37909.0
VFC,9504.691,189.716,9377.536,7890.177,465.236,,1487.359
VLO,122687.0,2348.0,57988.0,34263.0,5826.0,,23725.0
VOYA,8189.0,654.0,178859.0,171820.0,1288.0,,4953.0
VRTX,12001.3,3953.2,25643.0,6977.2,3631.4,,18665.8
VSAT,4519.571,574.962,15448.784,10804.224,908.187,142.394,4553.831
VTR,5833.98,261.518,27591.945,14630.983,1646.726,,12527.253
VZ,138191.0,17174.0,404258.0,298517.0,37137.0,,105741.0
WAT,3165.286,642.234,5076.55,2515.308,652.555,195.711,2561.242
WBD,37296.0,727.0,100085.0,62919.0,4319.0,,35919.0
WDC,9520.0,1889.0,14002.0,8462.0,1691.0,,5311.0
WDFC,619.985,90.994,475.809,207.657,87.925,8.7,268.152
WEC,9800.1,1555.5,51518.3,39901.7,3379.4,,11616.6
WELL,10838.034,961.837,67303.047,24100.108,2881.677,,42129.498
WFC,47484.0,21338.0,2148631.0,1965593.0,19001.0,,181117.0
WHD,1079.051,166.014,1871.617,438.569,258.417,,1226.39
WM,25204.0,2708.0,45835.0,35844.0,6043.0,,9990.0
WMT,713163.0,21893.0,284668.0,185051.0,41565.0,,99617.0
WRB,14707.856,1779.403,44071.071,34359.177,3582.616,,9700.818
WSM,7806.816,1088.437,5411.912,3329.353,1314.889,,2082.559
WWW,1874.3,95.8,1709.3,1301.3,140.0,,408.0
WY,6905.0,324.0,16613.0,7187.0,562.0,5.0,9426.0
WYNN,7137.924,327.334,13108.117,14139.396,1352.653,,275.492
XEL,14669.0,2018.0,81371.0,57762.0,4083.0,,23609.0
XOM,332238.0,28844.0,448980.0,182354.0,51970.0,1.2,259386.0
XYL,9035.0,957.0,17634.0,5885.0,1241.0,226.0,11480.0
YUM,8214.0,1559.0,8197.0,15521.0,2010.0,,7325.0
Z,2583.0,23.0,5685.0,801.0,368.0,607.0,4884.0
ZBH,8231.5,705.1,23091.7,10386.0,1697.1,,12697.7
ZM,4868.769,1900.148,11960.416,2152.158,1989.048,844.875,9808.258
ZS,2673.115,41.478,6419.888,4620.615,972.453,672.485,1799.273
ZTS,9467.0,2673.0,15467.0,12136.0,2904.0,,3331.0
