ticker,profit_margin,debt_ratio,roe,asset_turnover,ocf_margin,rd_intensity,roa,equity_multiplier
EVR,0.15255391378124805,0.5670354605375753,0.29136099264807225,0.7241533701237585,0.3238239172141634,0.0,0.11047243079026006,2.637409085360331
EW,0.17692333047662995,0.24527640685687585,0.10384421916112056,0.4429810472213299,0.26290460808227306,0.17786274639066518,0.07837368221242297,1.3249883918898004
EXC,0.11410668645395333,0.7529553058248263,0.09611778595735815,0.20809813845757913,0.2578118558825954,0.0,0.02374538903663035,4.047850545176749
EXPI,0.0047595389319765626,0.45132209365395043,0.09355833906556991,10.785371090218765,0.02485399631331655,0.014587900914253073,0.05133339359971072,1.8225629070059604
EXR,0.28837509644587694,0.5105244162068362,0.07250703222159244,0.11541609796540096,0.5477927439540352,0.0,0.03328312838217928,2.178492099330865
F,0.024569926954271216,0.84271167898568,0.09655403144864504,0.6177891695535702,0.08466947800965997,4.6540402177182716e-05,0.015179034769071094,6.361012601762016
FAF,0.08343844770671748,0.6595989845213448,0.11306482407491589,0.4591959972394755,0.12758648452805882,0.0,0.03831460120279996,2.9509591781071007
FAST,0.1534540576794098,0.21953729541451436,0.3190993001318592,1.6229294068752598,0.15802694957624536,0.0,0.24904510281224645,1.2812912060046657
FCX,0.16021609106694965,0.4710746643285712,0.21969416371236572,0.4455275327935084,0.2164769438549103,0.0,0.07138067976687813,3.0777818932218635
FDX,0.04653913518185747,0.6796192954226437,0.14575764052147894,1.0034121903066406,0.08002183654436686,0.0,0.046697935567804445,3.121286599700791
FFIV,0.22421109352372612,0.4316000400032155,0.19275617838423675,0.4886582655694477,0.3075271561025779,0.1748064811960343,0.10956260408273323,1.7593245432417994
FIS,0.035777840217289504,0.584866220735786,0.027483991654075834,0.31883062589584327,0.2442633698604477,0.0,0.011407071189679886,2.409381969925894
FISV,0.16420516208181946,0.6779229530904871,0.1349255583126551,0.26447281394681343,0.2860378426839051,0.0,0.04342780128037138,3.106893610421836
FITB,0.4215981277164828,0.8986640295555473,0.1160928005892101,0.027904243012277494,0.7545971247074557,0.0,0.011764376609321938,9.86816424231265
FLO,0.015946986566483003,0.6884487797276247,0.06430827465099383,1.256370371769043,0.0848862898529605,0.001769245154408493,0.020035321441128184,3.2097450914355106
FLUT,0.024842824879448208,0.6687841530054645,0.04503208674485506,0.5595286885245901,0.07227003601294024,0.06048953183177684,0.013900273224043715,3.2396547908829385
FMC,0.6456999480879045,0.786161119828227,1.0808110065170167,0.35793624576761085,0.0017880832900732538,0.0,0.23111941531092575,4.676418054549844
FNF,0.04167532017999308,0.9176986442108354,0.08108836206896551,0.13250591667125322,0.4034614053305642,0.0,0.005522226503017961,14.683997844827585
FOX,0.14067484662576688,0.4842854063375728,0.1916903527838154,0.702737658978228,0.20392638036809815,0.0,0.0988575123949127,1.939057013877278
FTI,0.09704407707951593,0.663448044118519,0.2865509245496165,0.9816568164297997,0.17765741094980164,0.008366389464994059,0.0952639797592457,3.0079671799750285
FTV,0.13926089779038733,0.4501989316475971,0.08975113893451515,0.3543368803087487,0.2604409607847852,0.06232117525426173,0.04934527207204137,1.8188396814082501
G,0.14100308071142276,0.5208466634169836,0.26416642708792354,0.8976841095510805,0.10963240536729979,0.0,0.12657622495239268,2.0870145810343192
GD,0.08011417697431018,0.5524463309402784,0.16431191944422763,0.9179199636674876,0.09743101807802093,0.0,0.07353840241750947,2.23436890172508
GE,0.1898157234761749,0.8548195038757308,0.4660277346468919,0.35227281457182585,0.18617380874495693,0.03445643877439756,0.06686691915893954,6.969481180061037
GILD,0.28903304690418774,0.6153533368347932,0.37484032947187595,0.49883943547430665,0.3402846177359644,0.0,0.1441810819511038,2.599788574197243
GIS,0.11778350250941673,0.7214728267278682,0.24949995651795803,0.5892334999440599,0.14975419005880963,0.01316802315437275,0.06940198541929359,3.5949973910774844
GM,0.014576881293272583,0.7754298147068444,0.04412703087419624,0.6577658167545968,0.14521211335052076,0.0,0.009588174229604243,4.602234984211129
